CustomerID,Gender,SeniorCitizen,Partner,Dependents,Tenure,InternetService,MonthlyCharges,TotalCharges,Contract,PaymentMethod,Churn
1,Male,0,No,Yes,20,Fiber optic,84.81,2648.24,Two year,Credit card,No
2,Female,1,Yes,Yes,63,DSL,21.84,1123.09,One year,Credit card,Yes
3,Male,1,Yes,Yes,36,DSL,85.4,3204.34,Month-to-month,Bank transfer,No
4,Male,1,Yes,No,26,DSL,81.86,7839.72,Two year,Bank transfer,No
5,Male,1,No,Yes,54,Fiber optic,50.98,1822.53,One year,Credit card,No
6,Female,0,No,No,28,DSL,28.58,4905.03,Two year,Credit card,Yes
7,Male,1,No,No,19,Fiber optic,29.09,3475.12,Two year,Mailed check,Yes
8,Male,0,No,Yes,24,DSL,112.32,586.78,Month-to-month,Bank transfer,Yes
9,Male,0,No,Yes,69,DSL,88.93,3913.26,Month-to-month,Credit card,Yes
10,Female,0,No,No,62,DSL,32.71,5623.27,Two year,Mailed check,No
11,Male,0,No,No,35,Fiber optic,55.67,4115.5,Month-to-month,Electronic check,Yes
12,Male,0,Yes,Yes,1,Fiber optic,79.25,6979.41,Month-to-month,Bank transfer,No
13,Male,1,No,Yes,21,DSL,103.56,2325.72,One year,Credit card,Yes
14,Male,1,Yes,Yes,15,No,24.37,708.27,One year,Bank transfer,Yes
15,Female,1,Yes,No,17,Fiber optic,43.66,7493.79,Two year,Mailed check,Yes
16,Male,1,No,No,68,Fiber optic,108.97,3038.01,Two year,Credit card,Yes
17,Female,0,No,No,53,DSL,20.92,4619.72,Two year,Electronic check,Yes
18,Female,1,Yes,No,29,No,40.14,6340.18,Two year,Electronic check,No
19,Female,0,Yes,No,44,DSL,115.9,2608.02,One year,Mailed check,Yes
20,Male,1,No,Yes,18,Fiber optic,81.34,5734.99,Month-to-month,Electronic check,Yes
21,Female,0,No,Yes,33,Fiber optic,46.17,1100.64,One year,Electronic check,Yes
22,Male,0,Yes,No,12,DSL,26.7,2344.52,Two year,Electronic check,Yes
23,Female,1,No,No,42,DSL,22.82,1174.79,Two year,Electronic check,Yes
24,Female,0,No,Yes,61,No,44.47,6493.62,One year,Electronic check,No
25,Female,0,No,Yes,21,No,108.15,1796.74,One year,Electronic check,Yes
26,Female,1,Yes,Yes,51,Fiber optic,61.59,5744.88,Two year,Electronic check,No
27,Female,0,Yes,Yes,51,No,92.03,7547.52,Month-to-month,Credit card,Yes
28,Female,1,Yes,No,35,No,111.83,4231.62,Two year,Electronic check,No
29,Female,1,No,Yes,18,Fiber optic,60.8,4329.43,One year,Credit card,Yes
30,Female,1,No,No,37,Fiber optic,39.13,3699.05,Two year,Bank transfer,Yes
31,Male,0,Yes,Yes,69,Fiber optic,71.71,2620.6,Two year,Mailed check,No
32,Male,0,Yes,Yes,56,Fiber optic,110.81,3815.73,Month-to-month,Electronic check,Yes
33,Female,0,Yes,Yes,19,DSL,100.44,4830.4,Two year,Mailed check,No
34,Female,1,No,No,8,Fiber optic,26.58,7888.21,Two year,Electronic check,Yes
35,Female,0,Yes,No,31,Fiber optic,89.26,7503.36,Two year,Credit card,No
36,Male,1,Yes,Yes,3,Fiber optic,77.19,6899.98,One year,Electronic check,No
37,Female,1,No,No,49,No,110.75,7115.26,One year,Bank transfer,No
38,Male,0,No,No,4,Fiber optic,32.25,3753.44,Month-to-month,Mailed check,Yes
39,Male,1,No,Yes,19,DSL,73.4,5266.41,Two year,Mailed check,No
40,Male,0,Yes,Yes,36,DSL,107.95,7162.63,One year,Bank transfer,Yes
41,Male,0,No,No,21,Fiber optic,61,3155.75,Month-to-month,Credit card,No
42,Male,0,No,No,57,DSL,68.2,7694.86,Two year,Credit card,No
43,Female,0,Yes,No,67,No,27.05,3337.97,Month-to-month,Bank transfer,No
44,Female,0,No,Yes,43,Fiber optic,47.81,4816.64,Month-to-month,Mailed check,Yes
45,Female,1,Yes,Yes,33,DSL,52.45,5684.24,Month-to-month,Electronic check,Yes
46,Female,1,Yes,No,41,DSL,114.51,7605.72,Month-to-month,Credit card,Yes
47,Female,1,No,Yes,8,Fiber optic,48.27,1972.04,Month-to-month,Electronic check,No
48,Male,0,No,Yes,6,DSL,66.09,5974.13,Month-to-month,Mailed check,Yes
49,Female,0,No,No,67,Fiber optic,87.13,4176.11,Month-to-month,Electronic check,Yes
50,Female,0,No,No,18,DSL,36.22,2163.09,Two year,Bank transfer,No
51,Male,1,No,Yes,30,No,68.64,6217.32,Two year,Credit card,No
52,Female,0,No,Yes,34,DSL,93.85,4426.73,Month-to-month,Credit card,Yes
53,Male,1,Yes,No,56,DSL,106.69,5294.57,Two year,Bank transfer,Yes
54,Female,1,Yes,Yes,60,Fiber optic,82.63,2596.75,Month-to-month,Bank transfer,Yes
55,Male,0,No,Yes,30,DSL,86.91,3860.57,Two year,Credit card,No
56,Female,0,Yes,No,52,Fiber optic,32.63,4946.49,One year,Credit card,No
57,Female,1,No,No,31,No,114.58,3251.19,Month-to-month,Credit card,No
58,Male,0,Yes,Yes,65,Fiber optic,33.26,1603.01,One year,Mailed check,No
59,Male,1,Yes,Yes,58,Fiber optic,97.47,7693.89,Month-to-month,Mailed check,No
60,Male,0,Yes,Yes,9,DSL,46.48,4101.51,Month-to-month,Mailed check,Yes
61,Male,0,No,No,1,No,113.36,5876.68,One year,Electronic check,Yes
62,Male,1,Yes,Yes,65,Fiber optic,92,3300.16,One year,Mailed check,Yes
63,Male,0,No,Yes,59,DSL,95.38,2853.95,One year,Credit card,No
64,Male,1,Yes,No,16,DSL,41.91,3269.17,Month-to-month,Mailed check,No
65,Male,0,Yes,No,15,Fiber optic,64.3,3285.39,One year,Credit card,Yes
66,Female,1,Yes,Yes,15,DSL,81.78,4362.56,One year,Bank transfer,Yes
67,Female,1,Yes,No,45,Fiber optic,97,4356.89,Two year,Electronic check,Yes
68,Male,0,Yes,No,38,Fiber optic,30.4,3987.29,Two year,Electronic check,No
69,Female,1,No,Yes,30,Fiber optic,116.24,1095.59,One year,Bank transfer,No
70,Female,0,No,No,0,No,109.02,3978.68,One year,Credit card,No
71,Female,0,Yes,No,10,Fiber optic,47.03,1369.45,One year,Electronic check,No
72,Female,0,Yes,Yes,3,DSL,102.28,1026.56,One year,Mailed check,No
73,Male,1,Yes,No,70,No,71.83,7462.51,Two year,Credit card,Yes
74,Female,1,Yes,Yes,25,DSL,66.18,4847.5,Month-to-month,Electronic check,Yes
75,Male,0,No,Yes,49,No,51.44,5282.73,One year,Bank transfer,No
76,Female,0,Yes,No,11,No,78.1,3226.31,One year,Credit card,No
77,Female,1,No,No,64,No,92.99,7273.67,Two year,Electronic check,Yes
78,Female,0,Yes,No,46,No,61.09,5110.69,One year,Bank transfer,No
79,Male,0,No,Yes,52,DSL,82.92,6157.98,One year,Credit card,No
80,Female,1,Yes,No,70,Fiber optic,89.93,2961.13,Two year,Mailed check,Yes
81,Male,0,Yes,Yes,1,DSL,91.11,7680.89,One year,Credit card,No
82,Female,1,No,No,23,Fiber optic,25.2,6567.28,One year,Mailed check,No
83,Male,0,Yes,No,3,DSL,105.97,6834.51,Two year,Credit card,Yes
84,Female,1,Yes,No,18,No,65.83,1394.11,Month-to-month,Bank transfer,No
85,Male,0,Yes,Yes,25,No,46.24,2182.29,One year,Mailed check,No
86,Male,0,No,No,39,Fiber optic,44.18,2299.3,One year,Mailed check,Yes
87,Female,1,Yes,No,49,Fiber optic,68.3,2181.86,Month-to-month,Credit card,Yes
88,Male,0,Yes,Yes,42,DSL,108.68,6846.16,Two year,Electronic check,No
89,Female,1,No,Yes,66,Fiber optic,57.83,274.44,Month-to-month,Mailed check,Yes
90,Female,0,No,No,11,DSL,94.97,627.28,One year,Credit card,Yes
91,Female,1,No,No,66,Fiber optic,29.68,2205.84,Month-to-month,Bank transfer,No
92,Female,1,Yes,No,26,Fiber optic,67.61,1614.99,Two year,Credit card,Yes
93,Female,1,Yes,Yes,53,Fiber optic,119.17,1870.24,One year,Credit card,No
94,Female,1,Yes,Yes,65,No,97.04,6387.59,Two year,Mailed check,Yes
95,Female,0,No,Yes,48,No,41.05,4513.75,Two year,Electronic check,Yes
96,Female,0,Yes,Yes,15,DSL,70.14,66.05,Month-to-month,Bank transfer,No
97,Female,1,Yes,No,1,Fiber optic,43.36,3446,Month-to-month,Mailed check,No
98,Female,1,No,Yes,59,DSL,60.96,3274.92,Two year,Mailed check,No
99,Female,1,No,Yes,53,Fiber optic,98.01,929.28,Two year,Mailed check,Yes
100,Male,0,No,Yes,29,No,97.12,5415.61,One year,Bank transfer,No
101,Male,0,No,No,37,No,42.81,5622.74,Two year,Electronic check,No
102,Female,0,No,No,27,Fiber optic,112.22,5772.73,Two year,Bank transfer,Yes
103,Female,0,Yes,Yes,24,Fiber optic,79.26,5833.2,Month-to-month,Bank transfer,Yes
104,Female,1,No,Yes,9,No,57.99,20.42,Two year,Electronic check,Yes
105,Female,1,Yes,No,59,No,70.19,7632.29,Two year,Bank transfer,No
106,Female,1,Yes,No,41,DSL,80.51,6517.39,Month-to-month,Credit card,Yes
107,Female,0,No,No,39,No,75.99,7233.77,One year,Bank transfer,Yes
108,Female,0,No,No,41,Fiber optic,68.64,144.83,Month-to-month,Mailed check,No
109,Female,0,No,No,46,DSL,70.49,7472.19,Month-to-month,Bank transfer,Yes
110,Male,1,Yes,No,36,Fiber optic,37.64,6482.11,Two year,Mailed check,Yes
111,Female,1,No,No,21,DSL,101.27,6701.01,Two year,Bank transfer,No
112,Male,0,No,No,56,Fiber optic,74.18,764.43,One year,Mailed check,Yes
113,Female,1,No,Yes,26,No,33.11,5915.45,Two year,Mailed check,No
114,Female,0,No,Yes,40,Fiber optic,96.62,7680.14,One year,Mailed check,No
115,Male,0,No,Yes,33,DSL,113.24,5434.81,One year,Electronic check,No
116,Female,1,Yes,Yes,31,Fiber optic,114.73,4573.08,One year,Bank transfer,No
117,Male,0,Yes,Yes,65,DSL,56.9,7566.12,One year,Bank transfer,No
118,Female,1,Yes,Yes,11,Fiber optic,33.55,3554.64,Two year,Credit card,Yes
119,Female,0,No,No,39,No,71.84,4802.36,Month-to-month,Credit card,No
120,Male,1,No,No,9,No,31.26,3821.18,Month-to-month,Credit card,No
121,Female,1,No,Yes,47,Fiber optic,113.4,7464.11,Two year,Bank transfer,No
122,Male,1,Yes,Yes,19,Fiber optic,38.36,627.16,Two year,Electronic check,No
123,Female,0,No,No,38,Fiber optic,45.28,4018.94,One year,Mailed check,Yes
124,Male,0,No,No,59,DSL,60.66,5501.88,Two year,Bank transfer,Yes
125,Male,1,No,No,65,Fiber optic,58.32,6339.41,Month-to-month,Electronic check,Yes
126,Female,1,Yes,Yes,64,Fiber optic,99.47,4672.49,Two year,Electronic check,No
127,Female,0,No,No,50,DSL,65.63,7273.16,Two year,Bank transfer,Yes
128,Male,0,Yes,Yes,35,No,37.08,7537.09,One year,Mailed check,Yes
129,Female,0,No,Yes,23,Fiber optic,46.72,533.27,One year,Electronic check,No
130,Female,1,Yes,No,26,Fiber optic,70.91,3230.92,One year,Bank transfer,No
131,Female,0,Yes,No,1,No,34.75,207.2,One year,Mailed check,Yes
132,Male,0,Yes,Yes,30,No,81.17,2648.74,Month-to-month,Credit card,Yes
133,Male,1,No,No,56,DSL,76.57,4304.21,Two year,Electronic check,Yes
134,Male,0,No,No,65,Fiber optic,91.47,7288.14,Two year,Electronic check,Yes
135,Male,0,Yes,Yes,28,Fiber optic,113.77,6775.5,One year,Bank transfer,No
136,Male,0,Yes,No,14,DSL,111.23,1037.45,Month-to-month,Bank transfer,No
137,Male,1,No,Yes,11,No,114.61,762.38,Month-to-month,Mailed check,No
138,Male,1,No,Yes,27,DSL,44.47,4722.35,Two year,Credit card,No
139,Male,1,Yes,No,23,No,33.16,4266.3,One year,Credit card,No
140,Male,1,No,Yes,20,DSL,50.23,2145.69,Two year,Bank transfer,Yes
141,Female,1,No,Yes,9,No,109.51,7197.64,Two year,Bank transfer,No
142,Male,1,No,No,17,DSL,117.21,7420.38,Month-to-month,Mailed check,No
143,Female,1,No,No,13,No,105.93,3232.84,Month-to-month,Bank transfer,Yes
